symbol,coverage_start,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,fees,slippage,net_pnl,return,exit_reason,holding_days,strategy_version,suspended_during_hold
09903.HK,20260108,20260109,155.95579999999998,20260112,186.95981303999997,641,19873.572358639984,383.6119297090079,219.8290013599857,19489.960428930975,0.19496263999999985,take_profit,2,reversal_first_day_daily,False
00100.HK,20260109,20260112,379.17879999999997,20260113,424.575,263,11939.200599999996,365.32792428,211.39939999999132,11573.872675719997,0.11605902133769079,trailing_stop,2,improved_trailing_stop,False
01021.HK,20260330,20260331,19.019,20260331,17.0999829,5257,-10088.272894699985,317.74760183166,189.8675946999919,-10406.020496531644,-0.10407801999999985,trailing_stop,1,improved_trailing_stop,False
01236.HK,20260511,20260512,62.86279999999999,20260512,56.519943479999995,1590,-10085.141866799997,317.64898469303995,189.80866679999343,-10402.790851493037,-0.10407801999999998,trailing_stop,1,improved_trailing_stop,False
02513.HK,20260108,20260109,137.33719999999997,20260113,220.1796,728,60309.26720000003,472.61742528,260.3327999999933,59836.649774720034,0.5984773261723704,trailing_stop,3,improved_trailing_stop,False
02706.HK,20260213,20260216,103.90379999999999,20260223,141.1587,962,35839.21380000003,418.69481940000003,235.7861999999939,35420.51898060003,0.35436303869540897,trailing_stop,3,improved_trailing_stop,False
02723.HK,20260527,20260528,200.2,20260529,377.622,499,88533.57800000001,534.4331916,288.4219999999873,87999.14480840001,0.8808740839160841,trailing_stop,2,improved_trailing_stop,False
03310.HK,20260527,20260528,41.041,20260528,36.8999631,2436,-10087.565888399986,317.72533344552,189.85428839999372,-10405.291221845506,-0.10407801999999987,trailing_stop,1,improved_trailing_stop,False
06636.HK,20260330,20260331,96.2962,20260331,86.57991342,1038,-10085.505470040007,317.660437005912,189.81551003999516,-10403.165907045919,-0.10407802000000008,trailing_stop,1,improved_trailing_stop,False
06656.HK,20260416,20260417,643.6429999999999,20260420,581.418,155,-9644.874999999985,317.981136,189.8749999999859,-9962.856135999986,-0.09986357530494375,trailing_stop,2,improved_trailing_stop,False
06872.HK,20260522,20260526,211.21099999999998,20260526,189.8998101,473,-10080.192822699988,317.49310599006003,189.71552269999438,-10397.685928690047,-0.10407801999999988,trailing_stop,1,improved_trailing_stop,False
06938.HK,20260109,20260112,85.43534999999999,20260113,86.13378,1170,817.1631000000198,341.65958112,200.7368999999865,475.5035188800198,0.004756968444560911,trailing_stop,2,improved_trailing_stop,False
07630.HK,20260513,20260514,43.10306,20260514,38.753961246,2320,-10089.909109279994,317.799137239584,189.8983892799913,-10407.708246519578,-0.10407801999999994,trailing_stop,1,improved_trailing_stop,False
